5000	1.12784e-06	7.736e-07	9.082e-07	2.8232e-07	
10000	1.25966e-06	4.4581e-07	1.01571e-06	2.8274e-07	
15000	1.28773e-06	4.33053e-07	1.08342e-06	3.06927e-07	
20000	1.3463e-06	4.4931e-07	1.081e-06	3.02305e-07	
25000	1.37086e-06	4.41584e-07	1.18042e-06	3.45116e-07	
30000	1.4229e-06	4.71927e-07	1.16159e-06	3.34893e-07	
35000	1.43574e-06	4.95111e-07	1.23288e-06	3.3508e-07	
40000	1.5014e-06	4.78782e-07	1.24769e-06	3.51457e-07	
45000	1.51178e-06	4.80713e-07	1.28368e-06	3.56793e-07	
50000	1.5397e-06	4.51444e-07	1.275e-06	3.52788e-07	
